id	date		class	t0	dt
0	07-04-15	banana	13.49	1.64 
1	07-05-15	wine	19.61	0.54 
2	07-06-15	wine	19.99	0.66 
3	07-09-15	banana	6.49	0.72 
4	07-09-15	wine	20.07	0.53 
5	07-10-15	banana	16.38	0.80 
6	07-11-15	wine	11.19	0.95 
7	07-12-15	banana	8.17	0.49 
8	07-12-15	wine	10.41	1.17 
9	07-15-15	banana	9.35	0.61 
10	07-15-15	banana	12.70	1.18 
11	07-17-15	banana	14.85	0.60 
12	07-19-15	wine	11.47	0.38 
13	07-21-15	banana	8.00	0.48 
14	07-21-15	wine	23.62	0.38 
15	07-22-15	banana	16.54	0.72 
16	07-22-15	banana	20.60	1.32 
17	07-23-15	banana	6.54	0.64 
18	07-23-15	banana	20.22	0.44 
19	07-23-15	wine	22.54	0.79 
20	07-24-15	wine	17.40	1.18 
21	07-25-15	banana	7.33	0.97 
22	07-26-15	banana	14.43	0.28 
23	07-27-15	wine	8.37	0.94 
24	07-28-15	wine	20.40	1.60 
25	07-29-15	wine	5.91	1.77 
26	07-29-15	wine	22.68	0.56 
27	07-31-15	banana	6.06	1.09 
28	08-02-15	wine	13.32	0.56 
29	08-03-15	wine	8.15	1.16 
30	08-04-15	banana	7.80	0.48 
31	08-06-15	wine	6.54	0.57 
32	08-09-15	wine	8.72	2.00 
33	08-10-15	banana	7.39	0.12 
34	08-11-15	banana	8.05	0.39 
35	08-13-15	banana	6.33	0.62 
36	08-14-15	wine	8.16	1.14 
37	08-16-15	wine	16.72	2.24 
38	08-18-15	wine	6.97	2.31 
